#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
The books are <b>under</b> the bed.	under (BELOW OBJECT)	spatial	be + under + elevated landmark	the books	the bed	intrinsic	under	Hidden beneath an object with overhead coverage	concealment by superposition	below the bed (lower elevation)	when referring to vertical distance without coverage	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:under generalisable:yes picture-cue:yes picture-query:"books stored under bed"
The plane flew <b>under</b> the cloud layer.	below (LOWER ALTITUDE)	spatial	be + below + reference altitude	the plane	the cloud layer	absolute	under	At a lower vertical position relative to a reference	altitude differential	under the clouds (enclosed feeling)	with tightly bounded overhead objects	module:02 sense:spatial type:recognition frequency:mid register:formal cefr:b1 image-schema:under generalisable:partial
The roots extend <b>beneath</b> the soil surface.	beneath (UNDERLYING)	spatial	be + beneath + top layer	the roots	the soil surface	intrinsic	under	Hidden under a protective or covering layer	sub-surface position	under the soil (less literary)	in casual everyday speech	module:02 sense:spatial type:recognition frequency:mid register:formal cefr:b1 image-schema:under generalisable:yes
The bird soared <b>over</b> the mountains.	over (CROSSING)	spatial	be + over + geographical obstacle	the bird	the mountains	absolute	over	Traveling across the top of a major obstacle	arc trajectory	above the mountains (hovering stationary)	when motion is not involved	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes picture-cue:yes picture-query:"bird soaring over mountain peaks"
Stars shine <b>above</b> us every night.	above (OVERHEAD ELEVATION)	spatial	be + above + observer position	stars	us	relative	over	Positioned higher in the sky or space without traversal	fixed elevated position	over us (crossing motion implied)	when describing trajectory	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes picture-cue:yes picture-query:"starry night sky above"
Paris is situated <b>between</b> London and Berlin.	between (DUAL POSITIONING)	spatial	be + between + two distant points	Paris	London and Berlin	absolute	between	Located spatially in the intermediate zone of two endpoints	linear medial position	among London, Berlin, and Amsterdam (multiple points)	with more than two reference cities	module:02 sense:spatial type:recognition frequency:mid register:formal cefr:b1 image-schema:between generalisable:yes picture-cue:yes picture-query:"europe map paris london berlin"
The hikers walked <b>among</b> tall pine trees.	among (WITHIN MULTITUDE)	spatial	be + among + dense collection	the hikers	tall pine trees	intrinsic	cluster	Surrounded by or moving through a collection of similar items	immersion in cluster	between two trees (only two specimens)	with exactly two nearby objects	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes picture-cue:yes picture-query:"hikers walking pine forest"
The speaker stood <b>behind</b> the podium.	behind (REAR CONCEALMENT)	spatial	be + behind + frontal barrier	the speaker	the podium	intrinsic	between	Positioned on the non-visible side; concealed from front view	occluded from forward direction	in front of the podium (visible side)	when the trajector should be visible	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes picture-cue:yes picture-query:"speaker behind podium lectern"
The monument stands <b>in front of</b> the cathedral.	in front of (FACADE POSITION)	spatial	be + in front of + oriented landmark	the monument	the cathedral	intrinsic	between	Located on the forward-facing, visible side of an oriented object	facing the main direction	behind the cathedral (hidden rear)	when occlusion is desired	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes picture-cue:yes picture-query:"monument cathedral front"
The bench sits <b>opposite</b> the fountain in the plaza.	opposite (ACROSS INTERVENING SPACE)	spatial	be + opposite + far-side landmark	the bench	the fountain	relative	point	Across a space or street from a reference landmark	facing across distance	beside the fountain (near side, same location)	when co-location is intended	module:02 sense:spatial type:recognition frequency:mid register:neutral cefr:b1 image-schema:point generalisable:yes
Tom sat <b>next to</b> Alice in the cinema.	next to (IMMEDIATE ADJACENCY)	spatial	be + next to + touching entity	Tom	Alice	intrinsic	between	Immediately beside with minimal or no gap; intimate proximity	contact or near-contact	beside Alice (slightly less intimate)	in formal or distant relational contexts	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes picture-cue:yes picture-query:"two people sitting cinema seats"
The pharmacy is <b>beside</b> the supermarket on Main Street.	beside (FLANK POSITIONING)	spatial	be + beside + lateral landmark	the pharmacy	the supermarket	absolute	point	Alongside another entity along the same axis or street	lateral alignment	next to the supermarket (closer contact)	in very intimate sharing-space contexts	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The village is <b>near</b> the coast but not on it.	near (GENERAL VICINITY)	spatial	be + near + approximate landmark	the village	the coast	absolute	point	Within reasonable distance; in the general area without precision	indefinite proximal zone	by the coast (specific adjacency)	when exact positioning is critical	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The cottage sits <b>by</b> the lakeside path.	by (ALONGSIDE LINEAR FEATURE)	spatial	be + by + linear or natural landmark	the cottage	the lakeside path	absolute	point	Positioned alongside a natural or defined linear feature	adjacency to feature	near the lakeside (broader area)	with non-linear, ambient landmarks	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The soldiers stood <b>around</b> the commander in formation.	around (ENCIRCLEMENT STATIC)	spatial	be + around + central focal point	the soldiers	the commander	relative	cluster	Positioned at various points surrounding a central reference	radial distribution	✗ around the commander (if motion is involved)	when describing a touring movement	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
The treasure is <b>inside</b> the chest.	inside (BOUNDED INTERIOR)	spatial	be + inside + enclosing container	the treasure	the chest	intrinsic	container	Contained within the enclosed space of a bounded landmark	full enclosure	outside the chest (external region)	when the landmark is open or has no clear boundary	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"open treasure chest gold"
The car is parked <b>outside</b> the shopping mall.	outside (UNBOUNDED EXTERIOR)	spatial	be + outside + bounded region	the car	the shopping mall	intrinsic	container	Located in the external space beyond a landmark's boundary	external position	inside the mall (interior location)	with fully interior or contained positions	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The picture hangs <b>against</b> the painted wall.	against (BACKED CONTACT)	spatial	be + against + background surface	the picture	the painted wall	intrinsic	support	Backed against or pressed into contact with a surface	surface-supported placement	beside the wall (not in contact)	when only adjacent without support pressure	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The old castle sits <b>across from</b> the modern town center.	across from (FACING SEPARATION)	spatial	be + across from + opposing landmark	the old castle	the modern town center	relative	between	Directly across an intervening space; mutually visible from opposite sides	faced opposing positions	opposite the town (single word form)	when brevity is paramount	module:02 sense:spatial type:recognition frequency:low register:neutral cefr:b2 image-schema:between generalisable:no
The documents are filed <b>under</b> 'Finance'.	under (CATEGORICAL BENEATH)	spatial	file + under + category	the documents	'Finance' category	intrinsic	under	Classified or organized as a subdivision of a category	categorical containment	above 'Finance' (not applicable here)	when describing non-hierarchical organization	module:02 sense:spatial type:recognition frequency:mid register:neutral cefr:b1 image-schema:under generalisable:partial
